Quantil,Halstead Volume,Cyclomatic Complexity (CC),Lines Of Code (LOC),Microsoft Maintainability Index (MI),Maintainability Index (MI) - calculated
0.95382,776.5910071999994,5.0,38.0,84.0,44
0.95383,776.7969889999985,5.0,38.0,84.0,44
0.95384,776.8890592000005,5.0,38.0,84.0,44
0.95385,776.89,5.0,38.0,84.0,44
0.95386,776.91,5.0,38.0,84.0,44
0.95387,776.91,5.0,38.0,84.0,44
0.95388,776.93,5.0,38.0,84.0,44
0.95389,776.93,5.0,38.0,84.0,44
0.9539,776.93,5.0,38.0,84.0,44
0.95391,776.95,5.0,38.0,84.0,44
0.95392,776.958223999999,5.0,38.0,84.0,44
0.95393,777.0741822000008,5.0,38.0,84.0,44
0.95394,777.12,5.0,38.0,84.0,44
0.95395,777.12,5.0,38.0,84.0,44
0.95396,777.4410776000047,5.0,38.0,84.0,44
0.95397,777.64,5.0,38.0,84.0,44
0.95398,777.64,5.0,38.0,84.0,44
0.95399,778.19,5.0,38.0,84.0,44
0.954,778.4570799999977,5.0,38.0,84.0,44
0.95401,778.79,5.0,38.0,84.0,44
0.95402,778.82,5.0,38.0,84.0,44
0.95403,778.82,5.0,38.0,84.0,44
0.95404,778.85,5.0,38.0,84.0,44
0.95405,779.0,5.0,38.0,84.0,44
0.95406,779.0,5.0,38.0,84.0,44
0.95407,779.11,5.0,38.0,84.0,44
0.95408,779.11,5.0,38.0,84.0,44
0.95409,779.65,5.0,38.0,84.0,44
0.9541,779.71,5.0,38.0,84.0,44
0.95411,779.71,5.0,38.0,84.0,44
0.95412,779.73,5.0,38.0,84.0,44
0.95413,779.73,5.0,38.0,84.0,44
0.95414,779.8,5.0,38.0,84.0,44
0.95415,780.0,5.0,38.0,84.0,44
0.95416,780.0,5.0,38.0,84.0,44
0.95417,780.0,5.0,38.0,84.0,44
0.95418,780.0,5.0,38.0,84.0,44
0.95419,780.44,5.0,38.0,84.0,44
0.9542,780.4580960000004,5.0,38.0,84.0,44
0.95421,780.48,5.0,38.0,84.0,44
0.95422,780.6953447999992,5.0,38.0,84.0,44
0.95423,780.96,5.0,38.0,84.0,44
0.95424,780.9903167999989,5.0,38.0,84.0,44
0.95425,781.38,5.0,38.0,84.0,44
0.95426,781.3812687999999,5.0,38.0,84.0,44
0.95427,781.61,5.0,38.0,84.0,44
0.95428,781.7662848000042,5.0,38.0,84.0,44
0.95429,781.89,5.0,38.0,84.0,44
0.9543,781.89,5.0,38.0,84.0,44
0.95431,781.89,5.0,38.0,84.0,44
0.95432,781.94,5.0,38.0,84.0,44
0.95433,781.94,5.0,38.0,84.0,44
0.95434,782.2,5.0,38.0,84.0,44
0.95435,782.2,5.0,38.0,84.0,44
0.95436,782.3261447999929,5.0,38.0,84.0,44
0.95437,782.39,5.0,38.0,84.0,44
0.95438,782.39,5.0,38.0,84.0,44
0.95439,782.53,5.0,38.0,84.0,44
0.9544,782.53,5.0,38.0,84.0,44
0.95441,782.53,5.0,38.0,84.0,44
0.95442,782.79,5.0,38.0,84.0,44
0.95443,782.79,5.0,38.0,84.0,44
0.95444,782.86,5.0,38.0,84.0,44
0.95445,783.0259219999983,5.0,38.0,84.0,44
0.95446,783.2799523999959,5.0,38.0,84.0,44
0.95447,783.58,5.0,38.0,84.0,44
0.95448,783.9207983999888,5.0,38.0,84.0,44
0.95449,783.99,5.0,38.0,84.0,44
0.9545,783.99,5.0,38.0,84.0,44
0.95451,784.2103991999932,5.0,38.0,84.0,44
0.95452,784.35,5.0,38.0,84.0,44
0.95453,784.5,5.0,39.0,84.0,44
0.95454,784.55,5.0,39.0,84.0,44
0.95455,784.73,5.0,39.0,84.0,44
0.95456,784.73,5.0,39.0,84.0,44
0.95457,784.8810694,5.0,39.0,84.0,44
0.95458,784.97,5.0,39.0,84.0,44
0.95459,785.2284728000058,5.0,39.0,84.0,44
0.9546,785.33,5.0,39.0,84.0,44
0.95461,785.62,5.0,39.0,84.0,44
0.95462,785.6504583999997,5.0,39.0,84.0,44
0.95463,785.9225031999988,5.0,39.0,84.0,44
0.95464,785.95,5.0,39.0,84.0,44
0.95465,785.95,5.0,39.0,84.0,44
0.95466,785.978026,5.0,39.0,84.0,44
0.95467,786.0,5.0,39.0,84.0,44
0.95468,786.06,5.0,39.0,84.0,44
0.95469,786.11,5.0,39.0,84.0,44
0.9547,786.128402,5.0,39.0,84.0,44
0.95471,786.26,5.0,39.0,84.0,44
0.95472,786.66,5.0,39.0,84.0,44
0.95473,786.865560599991,5.0,39.0,84.0,44
0.95474,787.28,5.0,39.0,84.0,44
0.95475,787.4287199999998,5.0,39.0,84.0,44
0.95476,787.4477087999998,5.0,39.0,84.0,44
0.95477,787.5792722000018,5.0,39.0,84.0,44
0.95478,787.9017059999926,5.0,39.0,84.0,44
0.95479,788.27,5.0,39.0,84.0,44
0.9548,788.27,5.0,39.0,84.0,44
0.95481,788.41,5.0,39.0,84.0,44
0.95482,788.4177204000001,5.0,39.0,84.0,44
0.95483,788.42,5.0,39.0,84.0,44
0.95484,788.42,5.0,39.0,84.0,44
0.95485,788.4480849999995,5.0,39.0,84.0,44
0.95486,788.5442428000011,5.0,39.0,84.0,44
0.95487,788.59,5.0,39.0,84.0,44
0.95488,788.59,5.0,39.0,84.0,44
0.95489,788.59,5.0,39.0,84.0,44
0.9549,788.7316699999981,5.0,39.0,84.0,44
0.95491,788.79,5.0,39.0,84.0,44
0.95492,788.79,5.0,39.0,84.0,44
0.95493,788.79,5.0,39.0,84.0,44
0.95494,788.93,5.0,39.0,84.0,44
0.95495,788.9435729999968,5.0,39.0,84.0,44
0.95496,789.0,5.0,39.0,84.0,44
0.95497,789.75,5.0,39.0,84.0,44
0.95498,789.7991780000011,5.0,39.0,84.0,44
0.95499,789.87,5.0,39.0,84.0,44
0.955,790.0076999999947,5.0,39.0,84.0,44
0.95501,790.14,5.0,39.0,84.0,44
0.95502,790.1512963999988,5.0,39.0,84.0,44
0.95503,790.45,5.0,39.0,84.0,44
0.95504,790.6638944000047,5.0,39.0,84.0,44
0.95505,790.83,5.0,39.0,84.0,44
0.95506,790.83,5.0,39.0,84.0,44
0.95507,790.83,5.0,39.0,84.0,44
0.95508,791.37,5.0,39.0,84.0,44
0.95509,791.37,5.0,39.0,84.0,44
0.9551,791.52,5.0,39.0,84.0,44
0.95511,791.62,5.0,39.0,84.0,44
0.95512,791.6534319999994,5.0,39.0,84.0,44
0.95513,791.8097790000018,5.0,39.0,84.0,44
0.95514,791.82,5.0,39.0,84.0,44
0.95515,791.8720809999999,5.0,39.0,84.0,44
0.95516,791.91,5.0,39.0,84.0,44
0.95517,791.91,5.0,39.0,84.0,44
0.95518,791.9323164000007,5.0,39.0,84.0,44
0.95519,792.0255590000015,5.0,39.0,84.0,44
0.9552,792.05,5.0,39.0,84.0,44
0.95521,792.23,5.0,39.0,84.0,44
0.95522,792.23,5.0,39.0,84.0,44
0.95523,792.3,5.0,39.0,84.0,44
0.95524,792.36,5.0,39.0,84.0,44
0.95525,792.44,5.0,39.0,84.0,44
0.95526,792.67,5.0,39.0,84.0,44
0.95527,792.756371600001,5.0,39.0,84.0,44
0.95528,792.92,5.0,39.0,84.0,44
0.95529,792.97,5.0,39.0,84.0,44
0.9553,793.0065940000015,5.0,39.0,84.0,44
0.95531,793.1537748000014,5.0,39.0,84.0,44
0.95532,793.27,5.0,39.0,84.0,44
0.95533,793.2798129999999,5.0,39.0,84.0,44
0.95534,793.7886619999938,5.0,39.0,84.0,44
0.95535,794.1544539999996,5.0,39.0,84.0,44
0.95536,794.16,5.0,39.0,84.0,44
0.95537,794.16,5.0,39.0,84.0,44
0.95538,794.1651235999999,5.0,39.0,84.0,44
0.95539,794.17,5.0,39.0,84.0,44
0.9554,794.66,5.0,39.0,84.0,44
0.95541,794.6781212000002,5.0,39.0,84.0,44
0.95542,794.72,5.0,39.0,84.0,44
0.95543,794.72,5.0,39.0,84.0,44
0.95544,794.72,5.0,39.0,84.0,44
0.95545,794.8596860000008,5.0,39.0,84.0,44
0.95546,794.95,5.0,39.0,84.0,44
0.95547,794.98,5.0,39.0,84.0,44
0.95548,794.9828911999997,5.0,39.0,84.0,44
0.95549,795.39,5.0,39.0,84.0,44
0.9555,795.39,5.0,39.0,84.0,44
0.95551,795.595528399999,5.0,39.0,84.0,44
0.95552,795.61,5.0,39.0,84.0,44
0.95553,795.688312200002,5.0,39.0,84.0,44
0.95554,795.78,5.0,39.0,84.0,44
0.95555,795.92,5.0,39.0,84.0,44
0.95556,796.18,5.0,39.0,84.0,44
0.95557,796.18,5.0,39.0,84.0,44
0.95558,796.32,5.0,39.0,84.0,44
0.95559,796.69,5.0,39.0,84.0,44
0.9556,796.69,5.0,39.0,84.0,44
0.95561,796.9232839999976,5.0,39.0,84.0,44
0.95562,797.01,5.0,39.0,84.0,44
0.95563,797.08,5.0,39.0,84.0,44
0.95564,797.08,5.0,39.0,84.0,44
0.95565,797.29,5.0,39.0,84.0,44
0.95566,797.43,5.0,39.0,84.0,44
0.95567,797.43,5.0,39.0,84.0,44
0.95568,797.43,5.0,39.0,84.0,44
